category;common_name;diseases_pests;exposure;family;flowering;flowers_color;foliage_type;height;latin_name;multiplication_methods;origin;plant_type;plantation_repotting;related_species;rusticity;soil_acidity;soil_humidity;soil_type;synonyms;trimming;toxicity;usage;vegetation_type 
;;les cochenilles, les araignées rouges;Plein soleil, à l'abri du vent, on peut même le palisser le long d'un mur exposé au sud. Une atmosphère humide.;Lythracées;été;rose, rouge, mauve, pourpre, blanc;caduc;de 5 à 7 m, il existe des formes naines;Lagerstroemia indica;Le semis est difficile car peu de graines sont fertiles et il ne transmet pas fidèlement les caractères de la plante mère. Les professionnels préfèrent le bouturage en fin d'été de rameaux semi-ligneux. Sachez qu'un plant issu de semis ne fleurit qu'après 3 à 5 ans, un plant provenant de bouture seulement après deux ans.;Chine;arbuste à fleurs;En automne, après la chute des feuilles, dans les régions au climat doux. De préférence au printemps, lorsque les gelées ne sont plus à craindre, au nord de la Loire.;;rustique, iI craint les fortes gelées, surtout durant les cinq premières années suivant sa plantation;neutre;un sol frais;léger, profond, bien drainé, pas d'humidité stagnante;;Chaque année, en février ou mars, taillez très court les rameaux florifères, en ne laissant que 4 à 6 bourgeons (environ 8 à 15 cm de long). Pour les sujets cultivés en buisson, cela revient à rabattre la touffe entre 20 et 30 cm du sol. Pour les lagerstroemias en arbre, réduisez toutes les branches secondaires des 2/3 de leur longueur. Supprimez les brindilles chétives et les rameaux mal placés, de manière à conserver une ramure bien équilibrée et aérée en son centre.;Les fruits ont une action narcotique en cas d'ingestion;isolé, bac;vivace
;;;soleil à mi-ombre;Verbénacées;juin à novembre;pourpre;semi-persistant;60 à 90 cm;Lantana montevidensis;boutures, semis;Amérique du sud;plante vivace, plante méditerranéenne;printemps;;rustique jusqu'à -7°C;moyennement acide à moyennement basique;normal à sec;drainant et humifère;Lantana sellowiana, Lippia montevidensis;;;massif, couvre-sol, talus, potée, haie basse;herbacées
;;la mouche blanche en intérieur;soleil;Verbénacées;de juin à octobre;blanc, jaune, rose, orange, rouge;persistant;jusqu'à 1 m;Lantana camara;semis en avril, bouturage en août;Régions tropicales d'Amérique Centrale, Amérique du Sud et d'Afrique;arbuste à fleurs;printemps;;5°C, semi rustique à réserver aux régions aux climats doux, en bac ou pot ailleurs;neutre;frais;riche, drainé;;en mars;plante toxique;massif, pot, bac;vivace souvent cultivée comme une annuelle
;;la pourriture, le chancre, la galle bactérienne (boursouflures grises), l'Ascochita, le puceron noir et jaune, le thrips et les cochenilles;ensoleillée à mi-ombre;Apocynacées;tout l'été;blanc, rose, rouge, saumon, jaune, fuchsia;persistant;jusqu'à 4m;Nerium oleander;bouturage en eau ou en terre en prélevant une pousse d'une dizaine de centimètres non fleurie en juillet ou en août;Afrique du nord;arbuste à fleurs;printemps;;-6°C, jusqu'à -10°C pour les variétés les plus rustiques;neutre à légèrement acide;normal à sec;léger et drainant;;Après la floraison, rabattez de moitié les rameaux ayant fleuris. Ça lui redonnera une forme plus dense. Une année sur deux, taillez une branche sur cinq à 40 cm du sol pour que la base soit toujours garnie. La floraison est moindre après une taille sévère qui aura lieu de préférence à la fin de l'hiver si nécessaire;C'est une des plante les plus dangereuses de nos régions. Feuilles, fleurs, écorce et bois, frais ou séchés, sont toxiques à très faible dose. On considère qu’une seule feuille peut être mortelle pour l’homme.;massif, haie libre, en bac en dehors d'un climat méditerranéen;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;août;violet;persistant;60 à 90 cm;Lavandula dentata;boutures, semis;Europe du sud;plante aromatique;printemps;;peu rustique, -2°C;légèrement acide à basique;sec à normal;tolérant;;;;massif, rocaille chaude, potée;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;printemps-été, voire toute l'année;bleu violacée;persistant;75 à 120 cm;Lavandula pinnata;boutures, semis;Méditerranée;plante aromatique;printemps;;peu rustique, -5°C, à réserver en extérieur aux régions au climat doux;légèrement acide à basique;sec à normal;drainant;;;;massif, rocaille chaude, potée;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;avril à juin selon la région;pourpre;persistant;30 à 60 cm;Lavandula stoechas;semis, bouture;Europe méditerranéenne;plante à fleur arbustive, aromatique;printemps;;rustique jusquà -7 °C;légèrement acide à légèrement basique;normal à sec;siliceux;;;;massif, rocaille, potée;vivace
;;;soleil à mi-ombre;Myrtacées;mai à Juin;rose;persistant;3m;Leptospermum scoparium;boutures, marcottages, semis;Nouvelle-Zélande, Australie;arbuste dornement;printemps;;rustique, -10°C;légèrement acide à neutre;normal à sec;riche et drainant;;;;massif, potée, huile essentiel, thé;vivace
;;;soleil à mi-ombre;Proteacées;avril à mai;orange;persistant;1m 20 à 1m 80;Leucospermum cordifolium;bouture, semis;Afrique du sud;plante méditerranéenne;printemps;;peu rustique, -6°C, à réserver aux régions au climat doux;acide à neutre;normal à sec;caillouteux ou sablonneux, pauvre;;;;conteneur, pleine terre en climat méditerranéen;arbustive
;;;soleil à mi-ombre;Proteacées;avril à mai;orange, jaune;persistant;2 à 4 m;Leucospermum reflexum;bouture, semis;Afrique du sud;plante méditerranéenne;printemps;;peu rustique, -6°C, à réserver en extérieur aux régions au climat doux;acide à neutre;normal à sec;caillouteux ou sablonneux, pauvre;;;;conteneur, pleine terre en climat méditerranéen;arbustive
;;;soleil à mi-ombre;Légumineuses, Fabacées, Papilionacées;printemps et début d'été;rouge, flammé;semi-persistant;20 à 40 cm;Lotus berthelotii;boutures, semis;Iles Canaries;plante semi-arbustive, rampante ou retombante;printemps;;non rustique, -3°C;légèrement acide à neutre;normal;drainant, argilo-sableux;;;;massif, conteneur, couvre-sol;vivace
;;;ensoleillée à mi-ombre;Amaryllidacées;octobre;jaune;caduc;40 à 80 cm;Lycoris aurea;semis, division;sud de la Chine;plante à bulbe;été, début d'automne;;semi-rustique, jusqu'à -10 °C;ph légèrement acide à basique;normal en hiver, plus sec en été;assez riche et drainant;;;;potée, massif en climat doux;vivace
;;;ensoleillée à ombre légère;Amaryllidacées;fin de l'été;rouge;caduc;40 à 50 cm;Lycoris radiata;semis, division;Chine;plante à bulbe;été, début d'automne;;peu rustique, jusqu'à -5 °C;ph acide à neutre;frais en hiver, sec en été;assez riche et drainant;;;;potée, massif en climat doux;vivace
;;;soleil;Primulacées;juin jusqu'aux gelées;bleu, orange;caduc;20 à 45 cm;Lysimachia monellii;printemps;Méditerranée occidentale;plante herbacée à fleur;semis, bouture;;peu rustique, -6°C;légèrement acide à légèrement basique;normal, ne pas laisser dessécher le sol;moyennement riche;Anagallis collina, Anagallis Linifolia, Anagallis monellii;;;massif, couvre-sol, potées;plante vivace
;;;mi-ombragée à très ensoleillée;Mélianthacées;été;rouge sombre;persistante;2 à 3 m;Melianthus major;semis, boutures, rejets;Afrique;plante arbustive;printemps, automne;;rustique, jusqu'à -15 °C;moyennement acide à faiblement basique;frais et un peu drainant;argileux à sablonneux;;;toxique à l'ingestion;plante ornementale pour massif, plante médicinale;vivace
;;;soleil à mi-ombre;Myrtacées;printemps, été;rouge, variétés orange, roses, blanches;persistant;2 m en culture, 20 m en pleine terre;Metrosideros excelsus;boutures, semis;Nouvelle-Zélande;arbuste d'ornement;printemps;;peu rustique, -3°C;acide à neutre;frais à humide;riche;Metrosideros excelsa, Metrosideros tomentosus;;;conteneur, extérieur en climat non gélif;arbustive
;;Il faut beaucoup se méfier des cochenilles qui attaquent gravement les mimosas et provoquent ensuite l'apparition de fumagine (sorte de suie). Les cochenilles sont difficiles à éliminer. Il faut les retirer à la main et nettoyer ensuite la plante avec une solution de savon noir. Les cicadelles (Metcalfa pruinosa) sont aussi un vrai problème dans le Midi.;soleil;Légumineuses, Fabacées, Papilionacées;de décembre à mars;jaune, parfumé;persistant;C'est un arbre de 10 m de hauteur (30 m dans sa contrée d'origine);Acacia dealbata;semis au chaud, greffage, bouturage en été difficile;On le trouve dans toute l'Australie sauf la partie nord.;arbre à fleurs;printemps;;jusqu'à -10°C dans un endroit abrité;acide;normal;assez pauvre et surtout bien drainé voire sec, et caillouteux car le mimosa ne supporte pas l'eau stagnante;;La taille est conseillée, chaque année, surtout dans les régions ventées. Après la floraison, coupez les rameaux ayant fleuri pour empêcher la formation inutile de gousses. Équilibrez la ramure et allégez-la en éliminant les branches mal placées ou en surnombre.;;isolé, bac, fleurs coupées;vivace
;;;ensoleillée;Scrophulariacées;juin à septembre;blanc, orange, jaune, rose, rouge;persistant;60 à 120 cm;Mimulus aurantiacus;semis, bouturage;Amérique du nord;plante méditerranéenne;printemps;;peu rustique, jusqu'à -6 °C;acide à neutre;normal à sec;léger et drainant;Diplacus aurantiacus, Mimulus glutinosus, Diplacus puniceus;;;parterre ensoleillée, conteneur, rocaille;arbrisseau
;;;ombre profonde ou légère, mi-ombre;Aracées;printemps, été;spathe crème;persistant;2/3 m en intérieur, 20 m en forêt tropicale;Monstera deliciosa;printemps;Amérique centrale et Amérique du Sud;plante grimpante tropicale, plante d'intérieur;bouture, marcotte;;6 °C minimum;très acide à neutre;toujours frais;sablonneux, argileux ou du terreau, mais riche;;;;plante d'intérieur, plante de collection, jardin d'hiver, fruits comestibles, plante médicinale;vivace
;;;ensoleillée;Brassicacées, Crucifères;mars à juin;jaune vif;caduc;de 4 à 7 cm;Morisia monanthos;semis, bouturage;Corse, Sardaigne;plante de rocaille, rare et de collection;printemps, automne;;peu rustique, jusqu'à -6°C;plutôt basique;normal;très drainant, sablonneux, pauvre;Morisia hypogaea;;;rocaille, auge, serre froide;vivace
;;;ombre légère à ensoleillée;Myrsinacées;toute l'année;blanchâtre;persistant;1 à 2 m;Myrsine africana;semis;Afrique, Asie;arbuste pour climat méditerranéen ou océanique;printemps, automne;;non rustique;acide;normal à sec;drainant;;;;conteneur, massif sec,  rocaille, art topiaire, petite haie de contour;arbustive
;;;ensoleillée;Amaryllidacées;fin de l'été;rose;caduc;40 à 60 cm;Nerine bowdenii;semis, division;Afrique du sud;plante à bulbe;printemps, été;;rustique jusqu'à -17°C;ph acide à neutre;normal;assez pauvre et drainant;;;;parterre, potée;vivace
;;;ensoleillée;Amaryllidacées;fin de lété;rouge;caduc;60 cm;Nerine sarniensis;bulbilles, semis;Afrique du sud;plante à bulbe;printemps, automne;;peu rustique, - 4°C;ph acide à neutre;normal;riche et drainant;;;;parterre, potée, massif;vivace
;;la pourriture, les cochenilles, les pucerons;soleil, mi-ombre;Strelitziacées;suivant les conditions de culture, début d'hiver à printemps et début d'été;orange et bleu;persistant;2 m;Strelitzia reginae;semis au chaud à 20°C (de 3 à 5 ans avant la première floraison), division de la touffe au printemps;Afrique du sud;fleur;au printemps en pot ou en pleine terre dans les régions au climat doux;;2°C;neutre;normal à frais;riche et drainé, en pot;;;;massif, bac, fleurs coupées, massif dans le sud;vivace rhizomateuse
;;;ensoleillée à ombre légère;Liliacées;mars;orange;caduc;30 cm;Ornithogale douteux;division, semis;Afrique du Sud;plante à bulbe;été, automne;;peu rustique, -8°C;légèrement acide à légèrement basique;normal;argileux et caillouteux;;;;plante dintérieur, plante méditerranéenne, fleuristerie;vivace
;;;ensoleillée à mi-ombre;Oléacées;juin à octobre, en plusieurs vagues;blanc;persistant;3 m à 6 m;Osmanthus fragrans;bouture, semis;Asie;arbuste ornemental;automne, printemps;;rustique, jusqu'à -12 °C;acide à basique;assez frais, mais drainant;tolérant;Osmanthus macrocarpus;;;isolé, massif, fleurs et fruits comestibles;arbustive
;;les pucerons, le mildiou;soleil;Astéracées, Composées;de mai aux gelées;variées;persistant;de 30 à 60 cm;Osteospermum;semis en mars, bouturage au été;Afrique du sud;fleur;printemps;;moyennement rustique, selon les variétés, planter à l'abri;neutre;normal;léger, terre ordinaire;;;;massif, rocaille, bordure, couvre-sol;vivace selon les variétés, cultivé en annuelle
;;;ensoleillée;Astéracées, Composées;mars à juillet;jaune;persistant;40 cm;Othonna cheirifolia;semis, bouture;Afrique du Nord;plante méditerranéenne, sous arbrisseau;printemps, automne;;rustique, jusqu'à -12 °C;tolérant;normal à sec;drainant;Othonnopsis cheirifolia, Hertia cheirifolia;;;parterre, potée, rocaille, talus, jardin sec;vivace
;;;ensoleillée;Oxalidacées;floraison étalée pendant l'hiver;rouge, jaune, orange, rose, blanc;caduc;7 à 15 cm;Oxalis obtusa;semis, division;Afrique du Sud;plante à bulbe;printemps, été;;rustique, jusqu'à -10 °C;autour du neutre;assez sec, arrosages prudents;pauvre et drainant;;;;parterre, potée;vivace
;;;ensoleillée à mi-ombre;Astéracées, Composées;juillet août;blanche;persistant;1,50 à 2 m;Ozothamnus rosmarinifolius;semis, boutures;Australie;plante méditerranéenne;printemps;;rustique -10°C;acide à basique;moyennement sec à sec;drainant et assez pauvre;Helichrysum rosmarinifolium;;;massif, huile essentielle, bouquets secs;arbustive
;;;ensoleillée à mi-ombre;Bignoniacées;juin à septembre;rose, blanche;persistant;2 à 4 m;Pandorea jasminoides;boutures, semis, marcottage;Australie;plante grimpante;printemps;;rustique jusqu'à -7°C;légèrement acide à légèrement basique;normal, régulièrement arrosé;riche et humifère;Tecoma jasminoïdes;;;conteneur, patio, pergola, serre, pleine terre en climat doux;vivace
;;;lumineuse;Passifloracées;tout l'été;violet;persistant;1,5 à 4 m;Passiflora violacea 'Amethyst';semis, boutures;horticole;plante grimpante;printemps;;rustique -7°C;acide à légèrement basique;frais;riche et humifère;Passiflora violacea, Passiflora amethystina, Passiflora 'Lavender Lady', Passiflora 'Amethyst';;;intérieur, serre, véranda, extérieur en climat doux;vivace
;;;ensoleillée à mi-ombre;Apocynacées;mars à mai;blanches;persistant;1 à 4 m;Phillyrea angustifolia;bouturage;Europe du sud et nord de lAfrique;plante méditerranéenne;printemps, automne;;rustique -15°C;tolérant;normal à sec;léger et drainant;;;;massif, potée;arbustive
;;;ensoleillée à mi-ombre;Labiacées, Lamiacées, Labiées;mai à septembre;jaune d'or;persistant;1 à 1,80 m;Phlomis fructicosa;division, bouturage, semis;Asie, Europe;arbustive, plante méditerranéenne;printemps;;rustique jusqu'à -15°C;légèrement acide à basique;sec à frais, mais drainant;pauvre à riche, supporte le calcaire;;;;fond ou milieu de massif, haies, talus, zone sèche;vivace
